zone,state,lga,sector,ea,hhid,indiv,FILTER,s1dq1,s1dq3a,s1dq3b,s1dq3c_1,s1dq3c_2,s1dq3c_os,s1dq4,s1dq4_os,s1dq4a,s1dq4a_os,s1dq4b_1,s1dq4b_2,s1dq4b_os,s1dq5,s1dq5_os,s1dq6,s1dq7,s1dq7a__1,s1dq7a__2,s1dq7a__3,s1dq7a__4,s1dq7a__96,s1dq7a_os,s1dq7b,s1dq7b_os,s1dq8a,s1dq8b,s1dq8c,s1dq8c_os,s1dq8d__1,s1dq8d__2,s1dq8d__3,s1dq8d__4,s1dq8d__5,s1dq8d__6,s1dq8d__7,s1dq8d__8,s1dq8d__9,s1dq8d__10,s1dq8d__11,s1dq8d__12,s1dq8d__13,s1dq8d__14,s1dq8d__15,s1dq8d__16,s1dq8d__17,s1dq8d__18,s1dq8d__19,s1dq8d__96,s1dq8d_os
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279042,5103,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279043,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279043,1602,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279043,1603,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279044,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279044,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279044,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279044,5101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279044,5102,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279045,1,1. YES,1. YES,1. YES,2. TEMPORARILY,"9. GENERAL VIOLENCE, HUMAN RIGHTS VIOLATION",,,Moving to another country,,1. UNITED KINGDOM,,EASIER TO FIND A JOB,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,6. DOMESTIC OBLIGATION (TAKE CARE OF OTHER HOUSEHOLD MEMBERS),,1. YES,2. NO,,,,,,,1. SAVINGS,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279045,2,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,RELATIVES OR/AND FRIENDS LIVING THERE,,11. TOO TIGHT IMMIGRATION RULES/REQUIREMENTS AT DESTINATION,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279045,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. RURAL,172,279045,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
