CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH15,CH16,NIVEL_ED,edad2,CAT_OCUP,INTENSI,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,PP04A,PP04B1,PP04B2,PP04C,PP04G,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,AGLOMERADO,informal
3.0,1.0,30.0,5.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,5.0,900.0,3.0,2.0,1.0,0.0,36.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,99.0,11.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,1.0,65.0,3.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,4225.0,3.0,2.0,1.0,0.0,18.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,7.0,9.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,33.0,0
1.0,2.0,56.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,3136.0,3.0,2.0,1.0,0.0,16.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
8.0,2.0,27.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,729.0,3.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,2.0,35.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,5.0,1.0,6.0,1225.0,3.0,2.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
2.0,2.0,35.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,5.0,1.0,6.0,1225.0,3.0,2.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,2.0,42.0,3.0,2.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,1764.0,2.0,2.0,1.0,0.0,18.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
1.0,2.0,42.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,1764.0,3.0,2.0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,12.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,39.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1521.0,2.0,3.0,1.0,0.0,72.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,47.0,4.0,4.0,1.0,2.0,0.0,4.0,2.0,3.0,1.0,3.0,2209.0,2.0,3.0,1.0,0.0,70.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,2.0,24.0,5.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,576.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,1.0,34.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1156.0,3.0,1.0,1.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,8.0,4.0,1.0,9.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,1.0,35.0,3.0,4.0,1.0,2.0,0.0,7.0,2.0,3.0,1.0,5.0,1225.0,2.0,3.0,1.0,0.0,74.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,57.0,3.0,4.0,1.0,2.0,0.0,6.0,2.0,1.0,1.0,5.0,3249.0,3.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,2.0,45.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,2025.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,9.0,11.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
2.0,1.0,47.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,2209.0,3.0,1.0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,12.0,4.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,2.0,68.0,5.0,12.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,4624.0,2.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
1.0,1.0,68.0,1.0,1.0,1.0,2.0,0.0,6.0,2.0,3.0,1.0,5.0,4624.0,2.0,3.0,1.0,0.0,54.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
1.0,2.0,44.0,5.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,1936.0,3.0,2.0,2.0,4.0,15.0,25.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,10.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,37.0,5.0,1.0,1.0,2.0,0.0,7.0,1.0,3.0,1.0,6.0,1369.0,2.0,1.0,1.0,0.0,25.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
1.0,1.0,43.0,2.0,1.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,5.0,1849.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
2.0,2.0,43.0,2.0,1.0,1.0,2.0,0.0,8.0,1.0,1.0,1.0,6.0,1849.0,3.0,2.0,2.0,3.0,12.0,9.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,77.0,2.0,12.0,1.0,2.0,0.0,8.0,1.0,1.0,1.0,6.0,5929.0,2.0,2.0,1.0,0.0,28.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
2.0,2.0,68.0,2.0,2.0,1.0,2.0,0.0,8.0,1.0,1.0,1.0,6.0,4624.0,2.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
2.0,1.0,43.0,1.0,1.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,5.0,1849.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,10.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,2.0,28.0,2.0,1.0,1.0,2.0,0.0,8.0,1.0,1.0,1.0,6.0,784.0,3.0,2.0,1.0,0.0,35.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,12.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
4.0,1.0,26.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,676.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,1.0,48.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,2304.0,3.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,10.0,4.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,33.0,0
3.0,1.0,21.0,5.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,5.0,441.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,10.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,33.0,0
3.0,2.0,17.0,5.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,289.0,3.0,2.0,1.0,0.0,10.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,11.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,5.0,33.0,1
1.0,2.0,54.0,3.0,4.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,2916.0,3.0,2.0,1.0,0.0,16.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
3.0,2.0,24.0,5.0,4.0,1.0,2.0,0.0,4.0,2.0,4.0,1.0,3.0,576.0,2.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,2.0,21.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0,441.0,2.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,41.0,5.0,1.0,1.0,2.0,0.0,6.0,2.0,1.0,1.0,5.0,1681.0,3.0,2.0,1.0,0.0,35.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,12.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,23.0,5.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,5.0,529.0,3.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
8.0,1.0,20.0,5.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,5.0,400.0,3.0,2.0,1.0,0.0,12.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
1.0,1.0,29.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0,841.0,3.0,3.0,1.0,0.0,60.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,8.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
3.0,2.0,41.0,5.0,1.0,1.0,2.0,0.0,7.0,1.0,3.0,1.0,6.0,1681.0,3.0,3.0,2.0,2.0,60.0,12.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,11.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,33.0,0
3.0,1.0,27.0,5.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,729.0,2.0,2.0,1.0,0.0,36.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,1.0,16.0,5.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,3.0,256.0,3.0,2.0,1.0,0.0,24.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,3.0,9.0,9.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
2.0,1.0,43.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,1849.0,2.0,3.0,1.0,0.0,46.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,1.0,49.0,2.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,2401.0,2.0,2.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,2.0,48.0,2.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,2304.0,3.0,2.0,2.0,2.0,30.0,10.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,10.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,1.0,21.0,5.0,4.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,441.0,3.0,3.0,1.0,0.0,84.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,1.0,54.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2916.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,1.0,35.0,5.0,4.0,1.0,2.0,0.0,5.0,2.0,1.0,1.0,3.0,1225.0,2.0,1.0,1.0,0.0,24.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,1.0,24.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,576.0,3.0,3.0,1.0,0.0,56.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,1.0,22.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,484.0,3.0,2.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,1.0,34.0,5.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1156.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,7.0,11.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,33.0,1
1.0,1.0,61.0,2.0,4.0,1.0,2.0,0.0,6.0,2.0,3.0,1.0,5.0,3721.0,2.0,1.0,1.0,0.0,22.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,1.0,28.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,784.0,3.0,2.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,11.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,2.0,25.0,5.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,625.0,3.0,2.0,1.0,0.0,38.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,11.0,11.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,2.0,20.0,5.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,400.0,2.0,1.0,1.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,39.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,4.0,1521.0,3.0,1.0,2.0,2.0,30.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,8.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
3.0,2.0,19.0,5.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,361.0,3.0,1.0,1.0,0.0,24.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,11.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,2.0,35.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,1225.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,32.0,1
2.0,1.0,52.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,2704.0,2.0,2.0,1.0,0.0,35.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0
1.0,1.0,45.0,5.0,2.0,1.0,2.0,0.0,8.0,1.0,1.0,1.0,6.0,2025.0,1.0,1.0,1.0,0.0,20.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
2.0,2.0,48.0,2.0,1.0,1.0,2.0,0.0,7.0,1.0,2.0,1.0,6.0,2304.0,3.0,1.0,1.0,0.0,30.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,10.0,11.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
1.0,2.0,44.0,3.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,1936.0,3.0,2.0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,12.0,11.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,33.0,0
1.0,1.0,56.0,2.0,2.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,4.0,3136.0,1.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
3.0,1.0,24.0,5.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,576.0,3.0,1.0,1.0,0.0,20.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,10.0,11.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,4.0,33.0,1
1.0,2.0,24.0,5.0,4.0,1.0,2.0,0.0,4.0,2.0,3.0,1.0,3.0,576.0,3.0,1.0,1.0,0.0,24.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,6.0,11.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,33.0,1
1.0,1.0,67.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,4489.0,3.0,3.0,1.0,0.0,64.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,99.0,4.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0
2.0,1.0,37.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1369.0,2.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,56.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,3136.0,3.0,2.0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,9.0,11.0,5.0,9.0,9.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,33.0,1
2.0,1.0,60.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,3600.0,2.0,3.0,1.0,0.0,54.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0
1.0,2.0,54.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,2916.0,3.0,3.0,2.0,3.0,32.0,16.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
3.0,2.0,38.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,3.0,1.0,6.0,1444.0,3.0,2.0,2.0,2.0,35.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,99.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0
4.0,1.0,40.0,1.0,4.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,5.0,1600.0,3.0,1.0,1.0,0.0,18.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,8.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,32.0,1
